AI Research Scientist	Smart Analytics	China	72300.80	108451.20	USD	kaggle-ai-jobs	AI00001	2024-10-18	CT	SE	Automotive	f	Tableau,PyTorch,Kubernetes,Linux,NLP
AI Software Engineer	TechCorp Inc	Canada	49516.00	74274.00	USD	kaggle-ai-jobs	AI00002	2024-11-20	CT	EN	Media	t	Deep Learning,AWS,Mathematics,Python,Docker
AI Specialist	Autonomous Tech	Switzerland	122100.80	183151.20	USD	kaggle-ai-jobs	AI00003	2025-03-18	FL	MI	Education	f	Kubernetes,Deep Learning,Java,Hadoop,NLP
NLP Engineer	Future Systems	India	64172.00	96258.00	USD	kaggle-ai-jobs	AI00004	2024-12-23	FL	SE	Consulting	f	Scala,SQL,Linux,Python
AI Consultant	Advanced Robotics	France	43699.20	65548.80	EUR	kaggle-ai-jobs	AI00005	2025-04-15	PT	EN	Media	t	MLOps,Java,Tableau,Python
AI Architect	Neural Networks Co	Germany	98859.20	148288.80	EUR	kaggle-ai-jobs	AI00006	2024-08-31	CT	SE	Healthcare	f	Data Visualization,R,SQL,Linux
Principal Data Scientist	DataVision Ltd	United Kingdom	63736.00	95604.00	GBP	kaggle-ai-jobs	AI00007	2024-12-29	FL	MI	Gaming	f	R,Docker,MLOps
NLP Engineer	Cloud AI Solutions	France	56512.00	84768.00	EUR	kaggle-ai-jobs	AI00008	2024-06-07	FL	EN	Healthcare	f	Python,SQL,Computer Vision,Java,Azure
Data Analyst	Quantum Computing Inc	Singapore	128568.00	192852.00	USD	kaggle-ai-jobs	AI00009	2024-11-04	CT	SE	Government	f	Hadoop,Git,Mathematics,Python
AI Software Engineer	Cloud AI Solutions	Austria	82045.60	123068.40	USD	kaggle-ai-jobs	AI00010	2024-10-20	PT	SE	Government	f	MLOps,GCP,Scala,Azure,Linux
Autonomous Systems Engineer	Smart Analytics	Sweden	81857.60	122786.40	USD	kaggle-ai-jobs	AI00011	2025-01-29	PT	SE	Telecommunications	t	MLOps,Python,SQL
